iteration,w_mse,w_anatomy
227,1.00000000,0.18846733
228,1.00000000,0.19154535
229,1.00000000,0.19466158
230,1.00000000,0.19781611
231,1.00000000,0.20100900
232,1.00000000,0.20424030
233,1.00000000,0.20751006
234,1.00000000,0.21081829
235,1.00000000,0.21416502
236,1.00000000,0.21755022
237,1.00000000,0.22097389
238,1.00000000,0.22443599
239,1.00000000,0.22793645
240,1.00000000,0.23147522
241,1.00000000,0.23505220
242,1.00000000,0.23866729
243,1.00000000,0.24232036
244,1.00000000,0.24601128
245,1.00000000,0.24973989
246,1.00000000,0.25350602
247,1.00000000,0.25730945
248,1.00000000,0.26114999
249,1.00000000,0.26502740
250,1.00000000,0.26894142
251,1.00000000,0.27289178
252,1.00000000,0.27687819
253,1.00000000,0.28090034
254,1.00000000,0.28495789
255,1.00000000,0.28905050
256,1.00000000,0.29317778
257,1.00000000,0.29733935
258,1.00000000,0.30153478
259,1.00000000,0.30576366
260,1.00000000,0.31002552
261,1.00000000,0.31431989
262,1.00000000,0.31864627
263,1.00000000,0.32300414
264,1.00000000,0.32739298
265,1.00000000,0.33181223
266,1.00000000,0.33626130
267,1.00000000,0.34073961
268,1.00000000,0.34524654
269,1.00000000,0.34978145
270,1.00000000,0.35434369
271,1.00000000,0.35893259
272,1.00000000,0.36354746
273,1.00000000,0.36818758
274,1.00000000,0.37285223
275,1.00000000,0.37754067
276,1.00000000,0.38225213
277,1.00000000,0.38698582
278,1.00000000,0.39174097
279,1.00000000,0.39651675
280,1.00000000,0.40131234
281,1.00000000,0.40612690
282,1.00000000,0.41095957
283,1.00000000,0.41580948
284,1.00000000,0.42067575
285,1.00000000,0.42555748
286,1.00000000,0.43045378
287,1.00000000,0.43536371
288,1.00000000,0.44028635
289,1.00000000,0.44522076
290,1.00000000,0.45016600
291,1.00000000,0.45512111
292,1.00000000,0.46008512
293,1.00000000,0.46505705
294,1.00000000,0.47003595
295,1.00000000,0.47502081
296,1.00000000,0.48001066
297,1.00000000,0.48500450
298,1.00000000,0.49000133
299,1.00000000,0.49500017
300,1.00000000,0.50000000
301,1.00000000,0.50499983
302,1.00000000,0.50999867
303,1.00000000,0.51499550
304,1.00000000,0.51998934
305,1.00000000,0.52497919
306,1.00000000,0.52996405
307,1.00000000,0.53494295
308,1.00000000,0.53991488
309,1.00000000,0.54487889
310,1.00000000,0.54983400
311,1.00000000,0.55477924
312,1.00000000,0.55971365
313,1.00000000,0.56463629
314,1.00000000,0.56954622
315,1.00000000,0.57444252
316,1.00000000,0.57932425
317,1.00000000,0.58419052
318,1.00000000,0.58904043
319,1.00000000,0.59387310
320,1.00000000,0.59868766
321,1.00000000,0.60348325
322,1.00000000,0.60825903
323,1.00000000,0.61301418
324,1.00000000,0.61774787
325,1.00000000,0.62245933
326,1.00000000,0.62714777
327,1.00000000,0.63181242
328,1.00000000,0.63645254
329,1.00000000,0.64106741
330,1.00000000,0.64565631
331,1.00000000,0.65021855
332,1.00000000,0.65475346
333,1.00000000,0.65926039
334,1.00000000,0.66373870
335,1.00000000,0.66818777
336,1.00000000,0.67260702
337,1.00000000,0.67699586
338,1.00000000,0.68135373
339,1.00000000,0.68568011
340,1.00000000,0.68997448
341,1.00000000,0.69423634
342,1.00000000,0.69846522
343,1.00000000,0.70266065
